date,co2
2024/5/1,88.82
2024/5/2,92.34
2024/5/3,93.86
2024/5/4,91.76
2024/5/5,88.98
2024/5/6,94.02
2024/5/7,96.03
2024/5/8,96.14
2024/5/9,95.64
2024/5/10,94.26
2024/5/11,92.37
2024/5/12,89.84
2024/5/13,94.49
2024/5/14,95.07
2024/5/15,96.47
2024/5/16,96.27
2024/5/17,94.95
2024/5/18,91.52
2024/5/19,88.43
2024/5/20,93.56
2024/5/21,96.11
2024/5/22,96.78
2024/5/23,97.92
2024/5/24,98.24
2024/5/25,93.38
2024/5/26,88.21
2024/5/27,93.44
2024/5/28,95.96
2024/5/29,93.72
2024/5/30,94.26
2024/5/31,95.23
2024/6/1,91.4
2024/6/2,88.24
2024/6/3,95.01
2024/6/4,97.85
2024/6/5,97.57
2024/6/6,97.36
2024/6/7,97.78
2024/6/8,92.98
2024/6/9,89.47
2024/6/10,93.93
2024/6/11,96.66
2024/6/12,98.01
2024/6/13,100.19
2024/6/14,99.85
2024/6/15,96.77
2024/6/16,91.01
2024/6/17,96.6
2024/6/18,99.6
2024/6/19,98.93
2024/6/20,99.74
2024/6/21,99.98
2024/6/22,95.19
2024/6/23,91.74
2024/6/24,99.46
2024/6/25,100.72
2024/6/26,100.34
2024/6/27,99.97
2024/6/28,97.98
2024/6/29,94.43
2024/6/30,92.06
2024/7/1,95.96
2024/7/2,95.48
2024/7/3,96.11
2024/7/4,94.8
2024/7/5,95.28
2024/7/6,92.67
2024/7/7,90.38
2024/7/8,99.06
2024/7/9,100.1
2024/7/10,100.15
2024/7/11,99.71
2024/7/12,99.37
2024/7/13,94.85
2024/7/14,90.99
2024/7/15,97.29
2024/7/16,99.04
2024/7/17,100.5
2024/7/18,101.09
2024/7/19,98.93
2024/7/20,95.23
2024/7/21,92.83
2024/7/22,100.08
2024/7/23,101.86
2024/7/24,102.39
2024/7/25,101.25
2024/7/26,98.72
2024/7/27,94.11
2024/7/28,90.54
2024/7/29,98.01
2024/7/30,100.76
2024/7/31,100.87
2024/8/1,100.78
2024/8/2,100.99
2024/8/3,97.39
2024/8/4,93.66
2024/8/5,100.36
2024/8/6,101.71
2024/8/7,101.31
2024/8/8,100.87
2024/8/9,98.64
2024/8/10,93.86
2024/8/11,90.09
2024/8/12,96.46
2024/8/13,99.17
2024/8/14,100.19
2024/8/15,98.54
2024/8/16,99.24
2024/8/17,96.35
2024/8/18,93.72
2024/8/19,97.94
2024/8/20,98.36
2024/8/21,98.29
2024/8/22,98.54
2024/8/23,98.08
2024/8/24,93.64
2024/8/25,90.7
2024/8/26,95.76
2024/8/27,98.01
2024/8/28,98.05
2024/8/29,99.63
2024/8/30,98.49
2024/8/31,94.02
2024/9/1,94.07
2024/9/2,96.65
2024/9/3,99.96
2024/9/4,99.91
2024/9/5,99.99
2024/9/6,99.42
2024/9/7,96.03
2024/9/8,91.16
2024/9/9,97.22
2024/9/10,100
2024/9/11,100.1
2024/9/12,100.89
2024/9/13,100.06
2024/9/14,97.03
2024/9/15,91.48
2024/9/16,96.05
2024/9/17,97.4
2024/9/18,98.77
2024/9/19,99.72
2024/9/20,99.99
2024/9/21,95.86
2024/9/22,90.8
2024/9/23,97.12
2024/9/24,98.4
2024/9/25,99.56
2024/9/26,98.37
2024/9/27,96.72
2024/9/28,92.98
2024/9/29,90.03
2024/9/30,95
2024/10/1,95.64
2024/10/2,96.1
2024/10/3,95.09
2024/10/4,96.59
2024/10/5,94.57
2024/10/6,92.12
2024/10/7,97.09
2024/10/8,99.52
2024/10/9,97.81
2024/10/10,96.44
2024/10/11,97.03
2024/10/12,92.3
2024/10/13,89.08
2024/10/14,95.52
2024/10/15,98.85
2024/10/16,98.21
2024/10/17,97.51
2024/10/18,96.55
2024/10/19,92.31
2024/10/20,87.61
2024/10/21,95.35
2024/10/22,98.23
2024/10/23,98.73
2024/10/24,98.22
2024/10/25,96.32
2024/10/26,94.62
2024/10/27,89.97
2024/10/28,96.11
2024/10/29,97.28
2024/10/30,98.1
2024/10/31,96.55
2024/11/1,95.53
2024/11/2,93.26
2024/11/3,90.88
2024/11/4,96.28
2024/11/5,99.48
2024/11/6,101.38
2024/11/7,102.49
2024/11/8,101.56
2024/11/9,98.66
2024/11/10,94.38
2024/11/11,99.54
2024/11/12,104.4
2024/11/13,103.72
2024/11/14,104.5
2024/11/15,103.25
2024/11/16,97.63
2024/11/17,93.37
2024/11/18,102.51
2024/11/19,104.84
2024/11/20,105.47
2024/11/21,107.12
2024/11/22,107.08
2024/11/23,102.08
2024/11/24,98.26
2024/11/25,103.77
2024/11/26,106.01
2024/11/27,105.97
2024/11/28,104.34
2024/11/29,105.48
2024/11/30,104.66
2024/12/1,99.15
2024/12/2,105.89
2024/12/3,108.66
2024/12/4,109.77
2024/12/5,108.31
2024/12/6,109.75
2024/12/7,107.26
2024/12/8,102.69
2024/12/9,107.98
2024/12/10,111.32
2024/12/11,112.06
2024/12/12,113.37
2024/12/13,111.86
2024/12/14,106.99
2024/12/15,104.39
2024/12/16,108.72
2024/12/17,110.82
2024/12/18,109.73
2024/12/19,110.69
2024/12/20,109.77
2024/12/21,106.93
2024/12/22,106.85
2024/12/23,108.84
2024/12/24,105.38
2024/12/25,98.76
2024/12/26,102.56
2024/12/27,105.96
2024/12/28,103.23
2024/12/29,100.92
2024/12/30,104.1
2024/12/31,101.99
