date,co2
2019/1/1,13.1593563
2019/1/2,15.5690077
2019/1/3,15.32447
2019/1/4,15.2131281
2019/1/5,14.3235233
2019/1/6,12.90168
2019/1/7,13.8696359
2019/1/8,13.5639869
2019/1/9,14.6834147
2019/1/10,16.0677409
2019/1/11,16.2846793
2019/1/12,15.4987536
2019/1/13,15.4158217
2019/1/14,16.7395252
2019/1/15,16.5596918
2019/1/16,16.1617103
2019/1/17,16.1896044
2019/1/18,15.3826656
2019/1/19,15.0797733
2019/1/20,15.8530419
2019/1/21,17.5543762
2019/1/22,16.8598822
2019/1/23,15.9869385
2019/1/24,15.7873908
2019/1/25,17.2669583
2019/1/26,16.6937252
2019/1/27,15.3055403
2019/1/28,15.5323752
2019/1/29,16.987524
2019/1/30,18.2967224
2019/1/31,18.7714339
2019/2/1,16.96182
2019/2/2,14.5883394
2019/2/3,12.5569879
2019/2/4,13.5527763
2019/2/5,14.2956343
2019/2/6,14.5972191
2019/2/7,14.810978
2019/2/8,16.2183635
2019/2/9,16.418562
2019/2/10,15.6687435
2019/2/11,15.6038662
2019/2/12,15.0673731
2019/2/13,15.1265199
2019/2/14,14.7948531
2019/2/15,14.88722
2019/2/16,15.2634452
2019/2/17,14.6757388
2019/2/18,15.8538457
2019/2/19,16.8849789
2019/2/20,16.142438
2019/2/21,15.4687678
2019/2/22,15.7127637
2019/2/23,14.3708122
2019/2/24,13.644445
2019/2/25,15.4336721
2019/2/26,15.6611222
2019/2/27,15.4473018
2019/2/28,15.7251448
2019/3/1,15.5564232
2019/3/2,14.6374846
2019/3/3,14.2944654
2019/3/4,16.7221508
2019/3/5,16.9831069
2019/3/6,16.5126288
2019/3/7,15.786648
2019/3/8,15.4527509
2019/3/9,13.7098324
2019/3/10,12.6814944
2019/3/11,14.2858503
2019/3/12,13.6853501
2019/3/13,13.2171448
2019/3/14,12.6764833
2019/3/15,13.4014994
2019/3/16,13.777257
2019/3/17,13.5993289
2019/3/18,14.6176348
2019/3/19,14.1974494
2019/3/20,14.0207536
2019/3/21,14.0329862
2019/3/22,13.9914763
2019/3/23,13.362873
2019/3/24,12.7013743
2019/3/25,13.961443
2019/3/26,14.2374557
2019/3/27,13.4083041
2019/3/28,13.0586059
2019/3/29,13.0582086
2019/3/30,12.2339713
2019/3/31,12.9488623
2019/4/1,14.4662018
2019/4/2,13.9702186
2019/4/3,13.1243682
2019/4/4,13.3096062
2019/4/5,13.448805
2019/4/6,12.2972866
2019/4/7,11.3914246
2019/4/8,12.578754
2019/4/9,12.467922
2019/4/10,12.3386574
2019/4/11,12.5637385
2019/4/12,12.7724356
2019/4/13,11.9428171
2019/4/14,11.7822434
2019/4/15,12.4878507
2019/4/16,12.4590503
2019/4/17,12.0231639
2019/4/18,12.0274244
2019/4/19,12.2038932
2019/4/20,11.3935249
2019/4/21,10.6203381
2019/4/22,11.9242328
2019/4/23,12.2300314
2019/4/24,12.5499612
2019/4/25,12.4755883
2019/4/26,12.2658448
2019/4/27,11.764026
2019/4/28,11.6506257
2019/4/29,12.8859325
2019/4/30,13.0142411
2019/5/1,13.3146093
2019/5/2,13.2669024
2019/5/3,13.4701733
2019/5/4,12.717377
2019/5/5,11.816394
2019/5/6,12.025817
2019/5/7,12.3443985
2019/5/8,12.1890232
2019/5/9,12.4012275
2019/5/10,12.874528
2019/5/11,11.9959759
2019/5/12,11.7378929
2019/5/13,12.4666732
2019/5/14,12.575501
2019/5/15,12.5701319
2019/5/16,12.2218929
2019/5/17,12.4306111
2019/5/18,11.9922053
2019/5/19,11.6448373
2019/5/20,12.4900249
2019/5/21,12.4434653
